,state_ut,year,deaths,heatwave_days,median_wbt
622,Nagaland,2022,0,35,16.726017
623,Odisha,2022,38,40,22.678301
624,Punjab,2022,130,42,24.138005
625,Rajasthan,2022,12,39,24.411068
626,Sikkim,2022,0,36,5.93097545
627,Tamil Nadu,2022,2,5,21.769484
628,Tripura,2022,2,27,20.80919
629,Uttar Pradesh,2022,130,57,23.672764
630,Uttarakhand,2022,0,51,12.941623
631,West Bengal,2022,18,25,21.706438
632,Chandigarh,2022,0,45,22.377699
633,Jammu & Kashmir,2022,0,20,9.6408945
634,Puducherry,2022,0,8,20.075455
